Time:512Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Event Id,Event Date,Event Duration
0.0000000000,0,-985234880.0000000000,-769096640.0000000000,654737984.0000000000,-1099071104.0000000000,776438592.0000000000,1557561984.0000000000,-641629632.0000000000,2101052032.0000000000,-1194032256.0000000000,-2091613312.0000000000,-1965719424.0000000000,338393664.0000000000,1983545984.0000000000,893419840.0000000000,-431259072.0000000000,1111131264.0000000000,,,
0.0019531250,0,-1874951552.0000000000,-321092800.0000000000,-1971485824.0000000000,-423919552.0000000000,-333153728.0000000000,-1206091136.0000000000,1981972864.0000000000,1885438592.0000000000,-111770552.0000000000,1438482816.0000000000,-1641512576.0000000000,-1420131456.0000000000,-538279360.0000000000,346260032.0000000000,-330530240.0000000000,350454592.0000000000,,,
0.0039062500,0,1216578176.0000000000,-209877952.0000000000,1987215744.0000000000,655786304.0000000000,560825152.0000000000,-1864465792.0000000000,1888060032.0000000000,1113227904.0000000000,-421821632.0000000000,-882932928.0000000000,-874021056.0000000000,1764784256.0000000000,-109673912.0000000000,1883865472.0000000000,228753984.0000000000,-979467200.0000000000,,,
0.0058593750,0,1213956736.0000000000,1439007616.0000000000,438076224.0000000000,1767931776.0000000000,1989310336.0000000000,1554940544.0000000000,1886486912.0000000000,1890681472.0000000000,-106527672.0000000000,-1974632064.0000000000,-1101692544.0000000000,-208829632.0000000000,1121092224.0000000000,226132544.0000000000,122782280.0000000000,-760184000.0000000000,,,
0.0078125000,0,1655669376.0000000000,1653572736.0000000000,2107343232.0000000000,-981565120.0000000000,999916352.0000000000,905478720.0000000000,-1634696576.0000000000,-985234880.0000000000,12092229.0000000000,-1629453696.0000000000,-1755348864.0000000000,-1643611264.0000000000,-327908800.0000000000,-989429440.0000000000,782729792.0000000000,1113752704.0000000000,,,
0.0097656250,0,-884506048.0000000000,232948544.0000000000,656311104.0000000000,1660387456.0000000000,340491584.0000000000,1882817152.0000000000,-2085846912.0000000000,346260032.0000000000,775390272.0000000000,-100761272.0000000000,1651474816.0000000000,-427064512.0000000000,-547192000.0000000000,1658290816.0000000000,1549697664.0000000000,1981449344.0000000000,,,
0.0117187500,0,900235840.0000000000,-886602688.0000000000,1438482816.0000000000,1548124544.0000000000,1215529856.0000000000,1433764736.0000000000,-101809592.0000000000,1770553984.0000000000,1984070784.0000000000,-1093303424.0000000000,-874545088.0000000000,-646349760.0000000000,1432191616.0000000000,1775272064.0000000000,-1531346304.0000000000,1329366144.0000000000,,,
0.0136718750,0,-1967816064.0000000000,-1538685824.0000000000,-1527151744.0000000000,2100527232.0000000000,338393664.0000000000,-107052472.0000000000,-986808000.0000000000,667845184.0000000000,1432716416.0000000000,1984594304.0000000000,-332103360.0000000000,1985119104.0000000000,1112179584.0000000000,1660912256.0000000000,1221821056.0000000000,3179589.0000000000,,,
0.0156250000,0,1994031744.0000000000,-209877952.0000000000,1435861376.0000000000,-1538162304.0000000000,-1319402624.0000000000,-1322024064.0000000000,-2096856192.0000000000,1440055936.0000000000,-654212032.0000000000,-1098546304.0000000000,-976323008.0000000000,-543000768.0000000000,2108916352.0000000000,-645824192.0000000000,1339327104.0000000000,-1871805312.0000000000,,,
0.0175781250,0,-1313111424.0000000000,-1865514112.0000000000,-434928832.0000000000,1986166656.0000000000,570259264.0000000000,343638592.0000000000,123830600.0000000000,-1195605376.0000000000,993625152.0000000000,-764378560.0000000000,557678912.0000000000,-1319402624.0000000000,-988904640.0000000000,787972672.0000000000,-1533967744.0000000000,2107868032.0000000000,,,
0.0195312500,0,-107052472.0000000000,-1308916864.0000000000,-1419083136.0000000000,-1963097984.0000000000,-331578560.0000000000,-874020288.0000000000,1775796864.0000000000,-1419083136.0000000000,-427064512.0000000000,-327908800.0000000000,-1968340864.0000000000,568162624.0000000000,2654789.0000000000,233472064.0000000000,-1970437504.0000000000,-757562560.0000000000,,,
0.0214843750,0,223511104.0000000000,-427064512.0000000000,444367424.0000000000,902332480.0000000000,-104433080.0000000000,1547076224.0000000000,12615749.0000000000,-1634696576.0000000000,-203586752.0000000000,-206732992.0000000000,130121800.0000000000,-434928832.0000000000,782729792.0000000000,446988864.0000000000,-767000000.0000000000,1436386176.0000000000,,,
